Date,Crude,Heating
2001-08-10,27.78,30.828
2001-08-17,27.49,30.954
2001-08-24,27,30.702
2001-08-31,26.93,32.004
2001-09-07,27.37,32.718
2001-09-14,27.63,33.432
2001-09-21,27.16,31.08
2001-09-28,22.47,26.796
2001-10-05,22.63,27.216
2001-10-12,22.66,27.258
2001-10-19,21.85,26.166
2001-10-26,22,26.418
2001-11-02,21.15,25.326
2001-11-09,20.68,24.822
2001-11-16,19.62,23.562
2001-11-23,18.61,22.344
2001-11-30,19.09,22.218
2001-12-07,19.36,22.302
2001-12-14,18.43,21.546
2001-12-21,19.46,23.016
2001-12-28,20.86,24.402
2002-01-04,20.71,23.898
2002-01-11,20.59,23.268
2002-01-18,18.52,21.84
2002-01-25,19.38,22.176
2002-02-01,19.71,22.134
2002-02-08,19.96,22.302
2002-02-15,21.21,23.31
2002-02-22,20.8,22.806
2002-03-01,21.46,23.352
2002-03-08,23.26,25.41
2002-03-15,24.35,27.048
2002-03-22,25.17,27.846
2002-03-29,25.63,27.678
2002-04-05,26.99,29.19
2002-04-12,25.39,27.678
2002-04-19,25.56,27.216
2002-04-26,26.62,28.014
2002-05-03,26.89,28.392
2002-05-10,27.25,28.14
2002-05-17,28.4,29.022
2002-05-24,26.81,28.14
2002-05-31,25.25,26.712
2002-06-07,24.97,26.712
2002-06-14,24.93,26.838
2002-06-21,25.64,27.552
2002-06-28,26.65,28.098
2002-07-05,26.79,28.77
2002-07-12,26.65,28.728
2002-07-19,27.62,29.568
2002-07-26,26.62,28.098
2002-08-02,26.85,28.392
2002-08-09,26.76,28.182
2002-08-16,28.46,29.862
2002-08-23,29.33,31.206
2002-08-30,28.87,31.5
2002-09-06,28.66,31.878
2002-09-13,29.58,32.928
2002-09-20,29.47,32.928
2002-09-27,30.61,33.81
2002-10-04,30.23,33.768
2002-10-11,29.36,33.18
2002-10-18,29.69,33.768
2002-10-25,27.94,31.626
2002-11-01,27.06,30.744
2002-11-08,26,29.778
2002-11-15,25.57,28.686
2002-11-22,26.64,31.122
2002-11-29,26.47,31.71
2002-12-06,27.09,31.92
2002-12-13,27.76,32.802
2002-12-20,30.3,35.868
2002-12-27,32.23,38.01
2003-01-03,31.88,37.086
2003-01-10,31.48,36.204
2003-01-17,33.08,37.632
2003-01-24,33.25,38.556
2003-01-31,33.19,40.11
2003-02-07,33.91,41.958
2003-02-14,35.77,44.058
2003-02-21,36.62,45.486
2003-02-28,36.81,49.014
2003-03-07,36.85,44.478
2003-03-14,36.64,42.504
2003-03-21,30.4,35.196
2003-03-28,29.16,32.802
2003-04-04,29.39,31.164
2003-04-11,28.08,30.408
2003-04-18,29.41,32.13
2003-04-25,28.07,32.508
2003-05-02,25.65,30.198
2003-05-09,26.63,29.4
2003-05-16,28.58,31.248
2003-05-23,29.03,31.08
2003-05-30,29.15,31.248
2003-06-06,30.69,32.214
2003-06-13,31.54,32.466
2003-06-20,30.68,31.332
2003-06-27,29.24,31.794
2003-07-04,30.29,32.928
2003-07-11,30.71,33.348
2003-07-18,31.46,33.642
2003-07-25,30.41,32.508
2003-08-01,30.78,33.558
2003-08-08,32.07,35.406
2003-08-15,31.37,34.398
2003-08-22,31.25,34.02
2003-08-29,31.56,34.314
2003-09-05,29.19,32.256
2003-09-12,28.89,31.92
2003-09-19,27.39,30.24
2003-09-26,27.76,30.618
2003-10-03,29.45,33.264
2003-10-10,30.73,35.112
2003-10-17,31.55,36.204
2003-10-24,30.18,34.566
2003-10-31,29.19,33.222
2003-11-07,29.81,34.02
2003-11-14,31.53,35.826
2003-11-21,32.48,36.876
2003-11-28,29.97,34.65
2003-12-05,30.76,36.204
2003-12-12,32.13,37.716
2003-12-19,33.23,39.354
2003-12-26,32.23,37.758
2004-01-02,32.57,38.388
2004-01-09,33.88,41.202
2004-01-16,34.43,40.95
2004-01-23,35.16,43.176
2004-01-30,33.61,40.614
2004-02-06,33.55,37.758
2004-02-13,33.85,38.22
2004-02-20,35.56,38.682
2004-02-27,35.26,38.766
2004-03-05,36.64,38.892
2004-03-12,36.38,37.296
2004-03-19,37.82,39.27
2004-03-26,36.56,38.22
2004-04-02,35.22,36.792
2004-04-09,35.66,37.38
2004-04-16,37.42,39.774
2004-04-23,36.78,38.976
2004-04-30,37.33,39.648
2004-05-07,39.21,41.79
2004-05-14,40.44,43.05
2004-05-21,40.89,43.092
2004-05-28,40.58,42.714
2004-06-04,40.02,42.546
2004-06-11,37.98,41.328
2004-06-18,37.86,42
2004-06-25,37.76,42.378
2004-07-02,37.22,42.798
2004-07-09,39.76,45.738
2004-07-16,40.39,45.444
2004-07-23,41.23,46.326
2004-07-30,42.55,47.628
2004-08-06,43.83,49.308
2004-08-13,45.25,49.812
2004-08-20,47.33,51.618
2004-08-27,44.2,49.014
2004-09-03,43.29,48.51
2004-09-10,43.38,49.518
2004-09-17,44.26,51.534
2004-09-24,47.83,55.65
2004-10-01,49.76,58.002
2004-10-08,51.8,59.64
2004-10-15,53.9,63.21
2004-10-22,54.3,65.142
2004-10-29,52.97,63.252
2004-11-05,49.81,58.548
2004-11-12,48.01,57.456
2004-11-19,46.9,58.758
2004-11-26,49.01,60.774
2004-12-03,46.03,55.944
2004-12-10,41.92,52.584
2004-12-17,43.5,56.868
2004-12-24,44.96,57.582
2004-12-31,42.55,51.87
2005-01-07,44.08,52.164
2005-01-14,46.76,55.104
2005-01-21,47.84,56.784
2005-01-28,48.65,58.506
2005-02-04,46.99,54.516
2005-02-11,46.08,53.508
2005-02-18,47.78,55.356
2005-02-25,51.3,61.362
2005-03-04,52.77,62.496
2005-03-11,54.24,63.798
2005-03-18,55.92,65.898
2005-03-25,55.33,65.142
2005-04-01,54.99,67.452
2005-04-08,55.27,66.15
2005-04-15,51.48,61.614
2005-04-22,52.94,63.21
2005-04-29,52.37,62.37
2005-05-06,50.47,60.732
2005-05-13,50.35,59.178
2005-05-20,47.71,57.372
2005-05-27,50.53,59.43
2005-06-03,53.81,64.386
2005-06-10,53.72,67.242
2005-06-17,56.25,68.88
2005-06-24,59.12,69.216
2005-07-01,58.25,69.132
2005-07-08,60.31,73.71
2005-07-15,59.09,71.148
2005-07-22,57.46,67.284
2005-07-29,59.56,68.124
2005-08-05,61.6,71.988
2005-08-12,64.91,77.364
2005-08-19,64.84,76.692
2005-08-26,66.42,77.322
2005-09-02,68.6,86.73
2005-09-09,64.73,82.362
2005-09-16,63.86,78.372
2005-09-23,66.22,84.714
2005-09-30,66.05,87.864
2005-10-07,63.07,84.462
2005-10-14,63.03,83.58
2005-10-21,62.33,80.346
2005-10-28,61.15,77.616
2005-11-04,60.34,75.516
2005-11-11,58.69,74.088
2005-11-18,57.01,71.694
2005-11-25,58.42,71.904
2005-12-02,57.79,70.308
2005-12-09,59.82,74.046
2005-12-16,60.31,75.39
2005-12-23,58.12,72.45
2005-12-30,59.84,70.896
2006-01-06,63.39,75.642
2006-01-13,63.73,72.744
2006-01-20,66.81,75.726
2006-01-27,67.01,75.894
2006-02-03,66.58,75.684
2006-02-10,63.04,70.812
2006-02-17,59.36,68.376
2006-02-24,61.39,70.434
2006-03-03,62.28,73.584
2006-03-10,60.89,72.072
2006-03-17,62.68,75.054
2006-03-24,62.19,74.256
2006-03-31,66.09,77.322
2006-04-07,67.07,78.624
2006-04-14,68.92,82.53
2006-04-21,72.21,86.226
2006-04-28,72.2,84.924
2006-05-05,72.14,84.294
2006-05-12,71.59,85.302
2006-05-19,69.12,81.396
2006-05-26,70.71,82.698
2006-06-02,71.5,83.454
2006-06-09,71.58,84.924
2006-06-16,69.49,81.732
2006-06-23,69.99,81.27
2006-06-30,72.67,82.53
2006-07-07,74.81,85.89
2006-07-14,75.29,85.26
2006-07-21,73.8,82.824
2006-07-28,74.1,82.278
2006-08-04,75.07,87.192
2006-08-11,75.6,87.612
2006-08-18,71.93,84.084
2006-08-25,72.34,85.092
2006-09-01,69.96,82.152
2006-09-08,67.42,79.59
2006-09-15,63.98,73.248
